,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,T01
S01,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,4
S02,1,1,1,1,0,0,2,0,1,5,1,1,0,3,1,0,0,1,3,14
S03,0,1,1,4,2,1,0,1,1,1,0,1,1,1,0,0,1,0,0,13
S04,0,0,1,1,3,2,0,1,0,1,0,1,0,0,0,0,0,1,0,18
S05,0,2,2,6,0,2,2,2,0,0,0,1,0,1,0,1,1,1,1,16
S06,0,0,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,11
S07,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0,14
S08,0,1,2,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,12
S09,0,0,1,1,1,0,6,0,1,2,4,2,0,1,3,1,1,0,3,15
S10,0,4,0,1,0,0,1,0,0,2,1,1,1,3,0,0,0,2,3,17
S11,0,0,0,1,0,0,3,1,1,3,0,3,0,0,3,0,0,0,1,17
S12,1,1,0,0,1,1,5,0,4,1,7,0,0,0,4,0,0,1,0,20
S13,0,1,1,1,0,0,0,2,0,1,0,0,1,2,1,1,0,2,1,13
S14,0,0,1,0,1,0,1,0,2,5,0,0,0,0,1,0,0,2,0,14
S15,0,0,0,1,0,0,6,0,2,1,6,4,1,2,0,0,0,1,0,15
S16,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,2,1,12
S17,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,5
S18,0,0,0,2,0,1,0,2,0,0,1,0,5,1,3,1,0,0,1,16
S19,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,14
T01,1,3,1,3,5,2,2,2,3,2,2,4,2,3,2,3,2,3,1,7